varna,devanagari,translit,place,manner,voicing,aspiration,active_status,rendered_in_facet_map,pole,pole_text,provenance_status,flags,source_location
dda,ड,ḍa,retroflex,stop,voiced,unaspirated,ACTIVE_CONTRADICTS_TABLE,False,binding,"lajjā as inhibition — action held back by others' regard; shrinking, self-conscious shame that blocks natural conduct",AUTHORED_PROVISIONAL,,frozen/varna_polarity_table_v3.json#varnas.dda
dda,ड,ḍa,retroflex,stop,voiced,unaspirated,ACTIVE_CONTRADICTS_TABLE,False,liberating,"acting unhindered by social shame — natural, unselfconscious conduct; healthy modesty without inhibition",AUTHORED_PROVISIONAL,,frozen/varna_polarity_table_v3.json#varnas.dda
ddha,ढ,ḍha,retroflex,stop,voiced,aspirated,INACTIVE,False,binding,"piśunatā — senseless, sadistic cruelty: harming/killing with gratuitous torture (dismembering a creature piece by piece; impaling, flaying), inflicting maximal suffering for its own sake; malice toward the maligned",PRIMARY_ATTESTED,,frozen/varna_polarity_table_v3.json#varnas.ddha
ddha,ढ,ḍha,retroflex,stop,voiced,aspirated,INACTIVE,False,liberating,"compassion that shields the maligned — restraint from gratuitous cruelty; if life must be taken, with the minimum of pain (the spirit of Neohumanism)",AUTHORED_PROVISIONAL,,frozen/varna_polarity_table_v3.json#varnas.ddha
dha,ध,dha,dental,stop,voiced,aspirated,INACTIVE,False,binding,"tṛṣṇā — limitless thirst to acquire: unquenchable craving for wealth, name, fame, power and prestige (not thirst for water)",PRIMARY_ATTESTED,,frozen/varna_polarity_table_v3.json#varnas.dha
dha,ध,dha,dental,stop,voiced,aspirated,INACTIVE,False,liberating,"the acquisitive thirst quenched at its root — all thoughts (pure and impure) redirected wholly toward the Supreme (Parama Puruṣa), the attested cure",INFERRED,,frozen/varna_polarity_table_v3.json#varnas.dha
ga,ग,ga,velar,stop,voiced,unaspirated,ACTIVE,True,binding,"restless striving that cannot stop — effort compulsively driven on, unable to cease (and, clung to mundane ends, ceaseless outward striving)",INFERRED,,frozen/varna_polarity_table_v3.json#varnas.ga
ga,ग,ga,velar,stop,voiced,unaspirated,ACTIVE,True,liberating,"will-force applied to arouse one's dormant higher potential — purposeful effort that exerts and then rests into poised, alert repose without inertia; the effort behind spiritual elevation",AUTHORED_PROVISIONAL,,frozen/varna_polarity_table_v3.json#varnas.ga
gha,घ,gha,velar,stop,voiced,aspirated,INACTIVE,False,binding,"mamatā bounded by the relative factors (time, space, individuality) — partial, possessive 'mine-ness' that clings to its own (own child, own country, own moment) while excluding or even harming what lies outside it",PRIMARY_ATTESTED,,frozen/varna_polarity_table_v3.json#varnas.gha
gha,घ,gha,velar,stop,voiced,aspirated,INACTIVE,False,liberating,"mamatā made to TRANSCEND time, space and individuality — love expanded past its relative boundaries into universal affection that holds the loved on an open hand (achievable only by human beings, through persistent, intense effort)",PRIMARY_ATTESTED,,frozen/varna_polarity_table_v3.json#varnas.gha
ha,ह,ha,glottal,aspirate,voiced,aspirated,ACTIVE,False,binding,"outward / visible vision — fixation on the manifest, physically-seen, outward-facing world",AUTHORED_PROVISIONAL,BACK_FIT,frozen/varna_polarity_table_v3.json#varnas.ha
ha,ह,ha,glottal,aspirate,voiced,aspirated,ACTIVE,False,liberating,"intuitional vision (parā-vidyā) — inner, subtle seeing/knowing",AUTHORED_PROVISIONAL,BACK_FIT,frozen/varna_polarity_table_v3.json#varnas.ha
ja,ज,ja,palatal,stop,voiced,unaspirated,ACTIVE,False,binding,the inflated 'I did / I control this' — the 'I'-feeling swollen into sole doership (as in Aurangzeb: 'had I not been there the world would have been destroyed'),PRIMARY_ATTESTED,,frozen/varna_polarity_table_v3.json#varnas.ja
ja,ज,ja,palatal,stop,voiced,unaspirated,ACTIVE,False,liberating,agency exercised WITHOUT inflating the 'I' — acting and functioning while not claiming sole doership,AUTHORED_PROVISIONAL,,frozen/varna_polarity_table_v3.json#varnas.ja
jha,झ,jha,palatal,stop,voiced,aspirated,INACTIVE,False,binding,greed / avarice — hoarding accumulation without limit; the insatiable greedy fascination (nolā) that always wants more,PRIMARY_ATTESTED,,frozen/varna_polarity_table_v3.json#varnas.jha
jha,झ,jha,palatal,stop,voiced,aspirated,INACTIVE,False,liberating,"sufficiency — appetite that releases at 'enough'; wanting stilled at contentment, the surplus grip let go",AUTHORED_PROVISIONAL,,frozen/varna_polarity_table_v3.json#varnas.jha
ka,क,ka,velar,stop,unvoiced,unaspirated,ACTIVE,True,binding,āśā as grasping / clinging hope — goaded toward a specific outcome or object; the downward pull of attached desire,INFERRED,,frozen/varna_polarity_table_v3.json#varnas.ka
ka,क,ka,velar,stop,unvoiced,unaspirated,ACTIVE,True,liberating,"aspiring hope held WITHOUT attachment — forward-orientation that acts while releasing the grip on the result (oriented toward the Great, not the object)",AUTHORED_PROVISIONAL,,frozen/varna_polarity_table_v3.json#varnas.ka
kha,ख,kha,velar,stop,unvoiced,aspirated,INACTIVE,False,binding,"cintā as anxious rumination — the mind churning over unresolved contingencies and personal consequences (e.g. worrying through the late-train inconveniences), gripping the what-ifs",INFERRED,,frozen/varna_polarity_table_v3.json#varnas.kha
kha,ख,kha,velar,stop,unvoiced,aspirated,INACTIVE,False,liberating,"cintā as composed, impersonal reflection — holding an unsettled situation open without forcing premature closure; objective contemplation in which one is 'not a direct player' (e.g. weighing how a failing industry might be revived), reflection without anxious grip",AUTHORED_PROVISIONAL,,frozen/varna_polarity_table_v3.json#varnas.kha
ksha,क्ष,kṣa,conjunct,conjunct,unvoiced,unaspirated,INACTIVE,False,binding,"aparā-vidyā — mundane / material knowledge owned as control, dogma or intellectual identity (materialism, intellectual pride; knowledge treated as an end and a possession)",AUTHORED_PROVISIONAL,,frozen/varna_polarity_table_v3.json#varnas.ksha
ksha,क्ष,kṣa,conjunct,conjunct,unvoiced,unaspirated,INACTIVE,False,liberating,"instrumental knowledge released from possession — material science / mundane knowledge held as a tool without clinging, in service of the higher (parā-vidyā), for welfare not bondage",INFERRED,,frozen/varna_polarity_table_v3.json#varnas.ksha
la,ल,la,dental,semivowel,voiced,unaspirated,ACTIVE,True,binding,"kruratā — cruelty: physical harm inflicted on the weak; crude, cruel thought and behaviour",PRIMARY_ATTESTED,,frozen/varna_polarity_table_v3.json#varnas.la
la,ल,la,dental,semivowel,voiced,unaspirated,ACTIVE,True,liberating,compassion (karuṇā) that protects the vulnerable — the counter-measure to cruelty; the will to reduce another's misery and help arouse their latent intellect,PRIMARY_ATTESTED,,frozen/varna_polarity_table_v3.json#varnas.la
ma,म,ma,labial,nasal,voiced,unaspirated,ACTIVE,True,binding,praśraya / praṇāśa — giving latitude to the point of dissolution; unrestrained indulgence that runs to annihilating collapse,PRIMARY_ATTESTED,,frozen/varna_polarity_table_v3.json#varnas.ma
ma,म,ma,labial,nasal,voiced,unaspirated,ACTIVE,True,liberating,disciplined containment that holds form — latitude restrained and sublimated so the dissolving tendency is contained rather than annihilating,AUTHORED_PROVISIONAL,,frozen/varna_polarity_table_v3.json#varnas.ma
na,न,na,dental,nasal,voiced,unaspirated,ACTIVE,True,binding,"moha — blind attachment / infatuation: the mind fixated on an object, place, time or idea, losing rationality (geo-sentiment; nostalgia for an age; the thief drawn back to the scene; fascination for a battered object)",PRIMARY_ATTESTED,,frozen/varna_polarity_table_v3.json#varnas.na
na,न,na,dental,nasal,voiced,unaspirated,ACTIVE,True,liberating,de-fascination from false attraction — superimposing indifference and diverting the mind toward Parama Puruṣa (the attested cure); freedom from fixation,INFERRED,,frozen/varna_polarity_table_v3.json#varnas.na
nga,ङ,ṅa,velar,nasal,voiced,unaspirated,ACTIVE,False,binding,dambha as vanity — the self displayed and performed for others' eyes; conduct staged to be seen and admired,INFERRED,,frozen/varna_polarity_table_v3.json#varnas.nga
nga,ङ,ṅa,velar,nasal,voiced,unaspirated,ACTIVE,False,liberating,"conduct that stands without outward performance — action done for its own sake, needing no audience or applause",AUTHORED_PROVISIONAL,,frozen/varna_polarity_table_v3.json#varnas.nga
nna,ण,ṇa,retroflex,nasal,voiced,unaspirated,INACTIVE,False,binding,envy — the sting at another's success; covetous resentment at another's good fortune,AUTHORED_PROVISIONAL,,frozen/varna_polarity_table_v3.json#varnas.nna
nna,ण,ṇa,retroflex,nasal,voiced,unaspirated,INACTIVE,False,liberating,muditā — sympathetic gladness at another's fortune; rejoicing in others' good rather than being stung by it,AUTHORED_PROVISIONAL,,frozen/varna_polarity_table_v3.json#varnas.nna
nya,ञ,ña,palatal,nasal,voiced,unaspirated,INACTIVE,False,binding,"hypocrisy / concealment — inner and outer diverging: cheating to serve one's purpose, domineering to hide one's own weakness, condemning in others the sins one secretly commits",PRIMARY_ATTESTED,,frozen/varna_polarity_table_v3.json#varnas.nya
nya,ञ,ña,palatal,nasal,voiced,unaspirated,INACTIVE,False,liberating,"transparency — inner intent and outer act coincide; no pretense, being what one appears",AUTHORED_PROVISIONAL,,frozen/varna_polarity_table_v3.json#varnas.nya
pa,प,pa,labial,stop,unvoiced,unaspirated,ACTIVE,True,binding,ghṛṇā — the fetter of hatred / revulsion: hatred arising (mainly from frustrated moha) and the downward pull toward the crude (pat / patati -> downfall),PRIMARY_ATTESTED,META_STALE_PA,frozen/varna_polarity_table_v3.json#varnas.pa
pa,प,pa,labial,stop,unvoiced,unaspirated,ACTIVE,True,liberating,the upward turn — goodwill that dissolves revulsion; anurakti (attraction for the Great) consummating in devotion (ūrdhva gam),INFERRED,META_STALE_PA,frozen/varna_polarity_table_v3.json#varnas.pa
pha,फ,pha,labial,stop,unvoiced,aspirated,INACTIVE,False,binding,"bhaya — fear: collapse or flight before danger; the shrinking, dread and panic under threat",SECONDARY_ATTESTED,,frozen/varna_polarity_table_v3.json#varnas.pha
pha,फ,pha,labial,stop,unvoiced,aspirated,INACTIVE,False,liberating,abhaya — steadiness meeting a genuine threat; unshaken presence in the face of danger,AUTHORED_PROVISIONAL,,frozen/varna_polarity_table_v3.json#varnas.pha
ra,र,ra,retroflex,semivowel,voiced,unaspirated,ACTIVE,True,binding,"sarvanāśa — the defeatist annihilation-thought ('I have nothing, everything is gone, I am undone'); destructive collapse, the sense of total defeat",PRIMARY_ATTESTED,,frozen/varna_polarity_table_v3.json#varnas.ra
ra,र,ra,retroflex,semivowel,voiced,unaspirated,ACTIVE,True,liberating,"prāṇaśakti — the fire of life-force directed as vitality and winning resolve ('I have come to win, I am destined to win'; 'Parama Puruṣa is mine'); directed energy without bondage",PRIMARY_ATTESTED,,frozen/varna_polarity_table_v3.json#varnas.ra
sa,स,sa,dental,sibilant,unvoiced,unaspirated,ACTIVE,False,binding,"the sentient / sattvic impulse clung to — clarity, purity or harmony owned as superiority or attachment (the subtle 'golden chain' of spiritual attainment)",INFERRED,,frozen/varna_polarity_table_v3.json#varnas.sa
sa,स,sa,dental,sibilant,unvoiced,unaspirated,ACTIVE,False,liberating,mokṣa — unqualified liberation; sentient clarity realized WITHOUT attachment to it ('clarity without attachment to clarity'),PRIMARY_ATTESTED,,frozen/varna_polarity_table_v3.json#varnas.sa
sha,श,śa,palatal,sibilant,unvoiced,unaspirated,ACTIVE,False,binding,"kāma — worldly / physical desire and longing: grasping for wealth, opulence, name, fame, social position; the tamasic pull toward the crude",PRIMARY_ATTESTED,SIBILANT_SWAP,frozen/varna_polarity_table_v3.json#varnas.sha
sha,श,śa,palatal,sibilant,unvoiced,unaspirated,ACTIVE,False,liberating,physical longing sublimated / redirected toward the higher — desire turned from kāma toward mokṣa (the longing for liberation); worldly grasping released,INFERRED,SIBILANT_SWAP,frozen/varna_polarity_table_v3.json#varnas.sha
ssa,ष,ṣa,retroflex,sibilant,unvoiced,unaspirated,INACTIVE,False,binding,"artha as possessive acquisition — worldly purpose pursued and possessed as acquisition, status or control (rajasic grasping to acquire)",AUTHORED_PROVISIONAL,SIBILANT_SWAP,frozen/varna_polarity_table_v3.json#varnas.ssa
ssa,ष,ṣa,retroflex,sibilant,unvoiced,unaspirated,INACTIVE,False,liberating,purposeful action without possessive bondage — rajasic energy directed to legitimate purpose/means without clinging (artha pursued without attachment),AUTHORED_PROVISIONAL,SIBILANT_SWAP,frozen/varna_polarity_table_v3.json#varnas.ssa
ta,त,ta,dental,stop,unvoiced,unaspirated,ACTIVE,True,binding,"jāḍya — inertia, staticity, dullness, torpor: the deep sleep of mind, intellectual dullness and spiritual inertness",PRIMARY_ATTESTED,,frozen/varna_polarity_table_v3.json#varnas.ta
ta,त,ta,dental,stop,unvoiced,unaspirated,ACTIVE,True,liberating,"the cessation of dullness/staticity — awakening from torpor into expansion (tan); alert wakefulness rising from torpor (the movement that liberates from jāḍya, which the word 'Tantra' names)",INFERRED,,frozen/varna_polarity_table_v3.json#varnas.ta
tha,थ,tha,dental,stop,unvoiced,aspirated,INACTIVE_CONTRADICTS_TABLE,False,binding,"viśāda — melancholy, dejection that sinks one's own mood; gloom, the sinking of spirits",SECONDARY_ATTESTED,DOC_VS_CODE_TH,frozen/varna_polarity_table_v3.json#varnas.tha
tha,थ,tha,dental,stop,unvoiced,aspirated,INACTIVE_CONTRADICTS_TABLE,False,liberating,warm buoyancy lifting one's own dejection — the mood rising out of melancholy into brightness,AUTHORED_PROVISIONAL,DOC_VS_CODE_TH,frozen/varna_polarity_table_v3.json#varnas.tha
tta,ट,ṭa,retroflex,stop,unvoiced,unaspirated,ACTIVE_CONTRADICTS_TABLE,True,binding,"vitarka — overstating one's case to the point of garrulousness; bad-tempered, exaggerated over-talk beyond what is warranted (the abusive over-response)",PRIMARY_ATTESTED,REACHABILITY_CONTRADICTION,frozen/varna_polarity_table_v3.json#varnas.tta
tta,ट,ṭa,retroflex,stop,unvoiced,unaspirated,ACTIVE_CONTRADICTS_TABLE,True,liberating,"pramita vāk — balanced, measured speech using only relevant words; saying just what is warranted (the helpful, to-the-point reply)",PRIMARY_ATTESTED,REACHABILITY_CONTRADICTION,frozen/varna_polarity_table_v3.json#varnas.tta
ttha,ठ,ṭha,retroflex,stop,unvoiced,aspirated,INACTIVE,False,binding,"anutāpa as gripping remorse — the 'after-heat' that torments, replaying one's own past wrong without release",PRIMARY_ATTESTED,META_STALE_TTHA,frozen/varna_polarity_table_v3.json#varnas.ttha
ttha,ठ,ṭha,retroflex,stop,unvoiced,aspirated,INACTIVE,False,liberating,"repentance discharged into acceptance — the remorse over one's past act released, the realization-of-impropriety turned into amendment rather than endless self-torment",AUTHORED_PROVISIONAL,META_STALE_TTHA,frozen/varna_polarity_table_v3.json#varnas.ttha
va,व,va,labial,semivowel,voiced,unaspirated,ACTIVE,False,binding,"ensconcement gone rigid — over-holding, clinging to one's holding; stuck fixity that resists the movement toward subtlety",INFERRED,,frozen/varna_polarity_table_v3.json#varnas.va
va,व,va,labial,semivowel,voiced,unaspirated,ACTIVE,False,liberating,"dharma — ensconcement in one's original (true) stance; the sustaining principle ('that which sustains'), the unbroken movement toward subtlety and merger into Parama Puruṣa (mānava dharma)",PRIMARY_ATTESTED,,frozen/varna_polarity_table_v3.json#varnas.va
ya,य,ya,palatal,semivowel,voiced,unaspirated,ACTIVE,False,binding,"aviśvāsa — self-doubt that cannot commit: lack of confidence and wavering ('shall I be able to do it?'), distrust of self and others",PRIMARY_ATTESTED,,frozen/varna_polarity_table_v3.json#varnas.ya
ya,य,ya,palatal,semivowel,voiced,unaspirated,ACTIVE,False,liberating,"self-efficacy — the confidence to commit and to rely: steady trust in oneself, others and the path",AUTHORED_PROVISIONAL,,frozen/varna_polarity_table_v3.json#varnas.ya
